<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.10.02	00:00:00	1.08546	1.08804	1.08523	1.08779	7266	0	2
2017.10.02	04:00:00	1.08779	1.08800	1.08650	1.08719	9164	0	0
2017.10.02	08:00:00	1.08723	1.08797	1.08653	1.08693	16256	0	0
2017.10.02	12:00:00	1.08693	1.08739	1.08599	1.08654	16222	0	1
2017.10.02	16:00:00	1.08657	1.08755	1.08527	1.08748	19579	0	0
2017.10.02	20:00:00	1.08743	1.08796	1.08695	1.08728	7652	0	6
2017.10.03	00:00:00	1.08728	1.08919	1.08728	1.08840	9000	0	3
2017.10.03	04:00:00	1.08839	1.08928	1.08754	1.08873	14207	0	2
2017.10.03	08:00:00	1.08877	1.08993	1.08833	1.08911	17807	0	0
2017.10.03	12:00:00	1.08911	1.08990	1.08824	1.08937	13753	0	1
2017.10.03	16:00:00	1.08937	1.09458	1.08924	1.09423	18052	0	0
2017.10.03	20:00:00	1.09423	1.09492	1.09374	1.09401	7398	0	0
2017.10.04	00:00:00	1.09401	1.09566	1.09278	1.09285	10284	0	3
2017.10.04	04:00:00	1.09285	1.09536	1.09194	1.09522	10524	0	2
2017.10.04	08:00:00	1.09522	1.09581	1.09422	1.09580	14228	0	0
2017.10.04	12:00:00	1.09582	1.09636	1.09385	1.09474	14914	0	0
2017.10.04	16:00:00	1.09474	1.09749	1.09400	1.09654	20075	0	0
2017.10.04	20:00:00	1.09652	1.09726	1.09625	1.09663	7503	0	0
2017.10.05	00:00:00	1.09663	1.09934	1.09427	1.09430	10048	0	0
2017.10.05	04:00:00	1.09432	1.09483	1.09326	1.09394	6698	0	4
2017.10.05	08:00:00	1.09394	1.09430	1.09277	1.09367	12621	0	2
2017.10.05	12:00:00	1.09366	1.09408	1.09222	1.09337	15980	0	0
2017.10.05	16:00:00	1.09334	1.09597	1.09295	1.09555	18702	0	2
2017.10.05	20:00:00	1.09556	1.09578	1.09452	1.09464	6453	0	3
2017.10.06	00:00:00	1.09458	1.09653	1.09433	1.09621	9328	0	1
2017.10.06	04:00:00	1.09617	1.09684	1.09100	1.09280	11406	0	1
2017.10.06	08:00:00	1.09281	1.09533	1.09231	1.09528	13828	0	0
2017.10.06	12:00:00	1.09523	1.09721	1.09405	1.09628	19506	0	0
2017.10.06	16:00:00	1.09627	1.09665	1.09401	1.09569	25283	0	0
2017.10.06	20:00:00	1.09569	1.09669	1.09442	1.09442	6195	0	0
2017.10.09	00:00:00	1.09962	1.10127	1.09875	1.09968	7849	0	2
2017.10.09	04:00:00	1.09968	1.10038	1.09717	1.09732	8212	0	1
2017.10.09	08:00:00	1.09732	1.09792	1.09565	1.09639	10839	0	0
2017.10.09	12:00:00	1.09639	1.09643	1.09458	1.09614	14334	0	0
2017.10.09	16:00:00	1.09612	1.09819	1.09570	1.09816	11080	0	0
2017.10.09	20:00:00	1.09816	1.09832	1.09667	1.09667	5237	0	0
2017.10.10	00:00:00	1.09667	1.09936	1.09655	1.09890	7599	0	2
2017.10.10	04:00:00	1.09889	1.10086	1.09849	1.10073	11568	0	0
2017.10.10	08:00:00	1.10073	1.10221	1.09987	1.10047	15114	0	0
