<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2007.10.01	00:00:00	0.76040	0.76210	0.75870	0.76100	298	0	40
2007.10.01	04:00:00	0.76090	0.76680	0.76070	0.76620	519	0	40
2007.10.01	08:00:00	0.76630	0.76680	0.76230	0.76500	718	0	40
2007.10.01	12:00:00	0.76480	0.76590	0.75850	0.76250	955	0	40
2007.10.01	16:00:00	0.76240	0.76640	0.76240	0.76640	687	0	40
2007.10.01	20:00:00	0.76630	0.76660	0.76570	0.76660	223	0	40
2007.10.02	00:00:00	0.76650	0.76660	0.75420	0.76410	4666	0	0
2007.10.02	04:00:00	0.76390	0.76460	0.76070	0.76170	457	0	0
2007.10.02	08:00:00	0.76160	0.76230	0.75550	0.75980	1163	0	0
2007.10.02	12:00:00	0.75960	0.76190	0.75760	0.76060	818	0	0
2007.10.02	16:00:00	0.76070	0.76120	0.75690	0.75980	665	0	0
2007.10.02	20:00:00	0.75960	0.76190	0.75420	0.75550	453	0	0
2007.10.03	00:00:00	0.75530	0.76320	0.75530	0.76230	641	0	40
2007.10.03	04:00:00	0.76240	0.76350	0.75910	0.75960	578	0	40
2007.10.03	08:00:00	0.75980	0.76210	0.75850	0.76210	930	0	40
2007.10.03	12:00:00	0.76230	0.76270	0.76010	0.76120	575	0	40
2007.10.03	16:00:00	0.76100	0.76100	0.75620	0.75660	841	0	40
2007.10.03	20:00:00	0.75650	0.75670	0.75170	0.75400	450	0	40
2007.10.04	00:00:00	0.75390	0.75530	0.75060	0.75460	654	0	40
2007.10.04	04:00:00	0.75480	0.75490	0.75130	0.75200	740	0	40
2007.10.04	08:00:00	0.75220	0.75490	0.75010	0.75240	1053	0	40
2007.10.04	12:00:00	0.75220	0.75400	0.75150	0.75300	513	0	40
2007.10.04	16:00:00	0.75310	0.75710	0.75300	0.75490	562	0	40
2007.10.04	20:00:00	0.75510	0.75620	0.75270	0.75510	428	0	40
2007.10.05	00:00:00	0.75530	0.76320	0.75240	0.75580	4487	0	0
2007.10.05	04:00:00	0.75600	0.75660	0.75470	0.75480	266	0	0
2007.10.05	08:00:00	0.75490	0.75810	0.75450	0.75740	695	0	0
2007.10.05	12:00:00	0.75730	0.76320	0.75240	0.76170	1465	0	0
2007.10.05	16:00:00	0.76190	0.76300	0.75920	0.76090	1103	0	0
2007.10.05	20:00:00	0.76100	0.76170	0.76030	0.76070	394	0	0
2007.10.08	00:00:00	0.76420	0.76730	0.76050	0.76550	3689	0	0
2007.10.08	04:00:00	0.76530	0.76660	0.76450	0.76600	389	0	0
2007.10.08	08:00:00	0.76610	0.76730	0.76360	0.76410	921	0	0
2007.10.08	12:00:00	0.76400	0.76480	0.76200	0.76300	738	0	0
2007.10.08	16:00:00	0.76310	0.76480	0.76210	0.76220	523	0	0
2007.10.08	20:00:00	0.76230	0.76280	0.76050	0.76190	462	0	0
2007.10.09	00:00:00	0.76200	0.76460	0.76190	0.76240	529	0	40
2007.10.09	04:00:00	0.76250	0.76270	0.75880	0.76040	517	0	40
2007.10.09	08:00:00	0.76050	0.76280	0.75900	0.76020	747	0	40
2007.10.09	12:00:00	0.76010	0.76180	0.75850	0.75990	962	0	40
2007.10.09	16:00:00	0.75980	0.76320	0.75950	0.76130	849	0	40
2007.10.09	20:00:00	0.76120	0.76620	0.76020	0.76540	733	0	40
